Date,Confirmed,Recovered,Deceased,Active,Tested,contact
15-10-2020,08:30 PM,0,0,0,0,0
24-05-2020,847,520,5,322,619000,0
25-05-2020,896,532,6,358,63009,0
26-05-2020,963,542,6,415,653030,0
27-05-2020,1003,552,6,445,67961,0
28-05-2020,1088,555,7,526,70422,0
29-05-2020,1150,565,8,577,74214,0
30-05-2020,1208,575,9,624,77257,0
31-05-2020,1269,590,10,669,79877,0
01-06-2020,1326,608,10,708,82449,0
02-06-2020,1412,627,11,774,86169,0
03-06-2020,1494,651,11,832,95348,0
04-06-2020,1588,690,14,884,99692,0
05-06-2020,1699,712,14,973,104045,0
06-06-2020,1807,762,15,1029,107796,0
07-06-2020,1914,803,15,1095,111930,0
08-06-2020,2005,814,16,1174,113956,0
09-06-2020,2096,848,16,1231,126088,0
10-06-2020,2161,905,17,1238,131006,0
11-06-2020,2244,967,18,1258,135974,0
12-06-2020,2322,999,19,1303,140457,0
13-06-2020,2407,1045,19,1342,144842,0
14-06-2020,2461,1101,19,1340,149164,0
15-06-2020,2543,1174,20,1348,151686,0
16-06-2020,2622,1234,20,1366,157117,0
17-06-2020,2697,1324,20,1351,161829,0
18-06-2020,2794,1413,21,1358,169035,0
19-06-2020,2912,1509,21,1380,173729,0
20-06-2020,3039,1566,21,1450,178559,0
21-06-2020,3172,1659,21,1490,183201,0
22-06-2020,3310,1747,21,1540,185903,0
23-06-2020,3444,1835,22,1452,192059,0
24-06-2020,3603,1888,22,1691,197567,0
25-06-2020,3726,1901,22,1763,203574,0
26-06-2020,3876,1921,22,1848,209456,0
27-06-2020,4071,1941,22,1941,215243,0
28-06-2020,4189,2150,22,2015,220821,0
29-06-2020,4311,2229,22,2057,224737,0
30-06-2020,4442,2304,24,2114,231570,0
01-07-2020,4593,2436,25,2132,239017,0
02-07-2020,4753,2638,25,2090,246799,0
03-07-2020,4964,2839,25,2088,253011,0
04-07-2020,5204,3048,25,2129,260011,0
05-07-2020,5429,3174,25,2228,268218,0
06-07-2020,5622,3341,27,2252,275823,0
07-07-2020,5894,3452,27,2411,285968,0
08-07-2020,6195,3559,27,2605,296183,0
09-07-2020,6534,3708,27,2795,307219,0
10-07-2020,6950,3820,27,3099,320485,0
20-05-2021,29673,41032,142,306346,18555023,0
21-05-2021,30491,44369,128,317850,18550000,0

